门店ID,门店名称,城市,poi_count,avg_cost,median_cost,avg_rating,top_categories,business_area,office_count,residential_count,metro_count,nearest_metro_km
BJW54-1,轻遇三明治（北京西三旗店）,北京市,50,53.7,36.0,4.22,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",西三旗,10,10,10,1.26
SHW110-1,轻遇三明治（上海宝山龙湖）,上海市,42,51.5,40.0,4.12,"中餐厅(10), 快餐厅(10), 咖啡厅(10)",顾村,10,10,10,0.14
SHW83-1,轻遇三明治（上海莘庄龙之梦）,上海市,50,39.4,35.0,3.94,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",莘庄,10,10,10,0.64
SHW129-1,轻遇三明治（上海漫趣邻舍）,上海市,50,55.2,28.0,4.05,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",制造局路,10,10,10,0.17
SHW125-1,轻遇三明治（上海嘉亭荟）,上海市,49,41.4,29.0,3.99,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",嘉亭荟综合体,10,10,10,0.08
SHW121-1,轻遇三明治（上海世博绿谷）,上海市,50,70.0,30.0,4.17,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",上南地区,10,10,10,0.33
SHW85-1,轻遇三明治（上海松江漕河泾园区）,上海市,43,44.8,28.0,3.91,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",九亭,10,10,2,0.8
SHW86-1,轻遇三明治（上海田林华鑫）,上海市,49,42.3,30.0,4.08,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",漕河泾,10,10,10,0.55
SHW92-1,轻遇三明治（上海徐汇万科中心）,上海市,50,70.9,31.0,4.28,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",漕河泾,10,10,10,0.35
SHW54-1,轻遇三明治（上海虹桥龙湖天街店）,上海市,48,65.2,37.0,4.07,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",华漕,10,10,10,0.42
